id;type_employeur;is_public
62664;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
62665;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
62666;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
62667;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
62668;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
62669;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
62670;Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements);VRAI
62671;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;VRAI
62672;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;VRAI
62673;Ministère du Travail, de la Santé, des Solidarités et des Familles;VRAI
62674;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;VRAI
62675;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;VRAI
62676;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;FAUX
62677;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;VRAI
62678;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;VRAI
62679;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;VRAI
62680;;FAUX
62681;;FAUX
62682;;FAUX
62683;;FAUX
62684;;FAUX
62685;;FAUX
62686;;FAUX
62687;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;VRAI
62688;;FAUX
62689;;FAUX
62690;Ministère des Armées;VRAI
62691;;FAUX
62692;;FAUX
62693;;FAUX
62694;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;VRAI
62695;;FAUX
62696;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;VRAI
62697;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;VRAI
62698;Ministère de l’Agriculture et de la Souveraineté alimentaire;VRAI
62699;;FAUX
62700;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;VRAI
62701;;FAUX
62702;;FAUX
62703;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;VRAI
62704;;FAUX
62705;Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche;VRAI
62706;;FAUX
62707;Premier ministre;VRAI
