Identifiant_de_l_etablissement;Statut_public_prive;Type_contrat_prive;Code_type_contrat_prive
0850152D;Public;SANS OBJET;99
0381732B;Privé;CONTRAT ASSOCIATION PARTIE DES CLASSES;31
9730423X;Public;SANS OBJET;99
0120938E;Public;SANS OBJET;99
0020025S;Public;SANS OBJET;99
0120006S;Public;SANS OBJET;99
0442092K;Public;SANS OBJET;99
0261065S;Privé;SANS OBJET;99
9720515C;Public;SANS OBJET;99
0380014J;Public;SANS OBJET;99
0500087Y;Public;SANS OBJET;99
0331548D;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0750693W;Public;SANS OBJET;99
0750788Z;Public;SANS OBJET;99
0420976H;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0870019Y;Public;SANS OBJET;99
0031082K;Public;SANS OBJET;99
0171571R;Public;SANS OBJET;99
0230018V;Public;SANS OBJET;99
0840017M;Public;SANS OBJET;99
0580042F;Public;SANS OBJET;99
0211090W;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0170022G;Public;SANS OBJET;99
0133404E;Privé;HORS CONTRAT;10
0941915W;Privé;HORS CONTRAT;10
0011457D;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0831838X;Privé;HORS CONTRAT;10
0596335R;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0597096T;Privé;HORS CONTRAT;10
0011294B;Privé;HORS CONTRAT;10
0011411D;Public;SANS OBJET;99
0020061F;Public;SANS OBJET;99
0022043K;Public;SANS OBJET;99
0022212U;Privé;HORS CONTRAT;10
0030867B;Privé;HORS CONTRAT;10
0031021U;Public;SANS OBJET;99
0031100E;Privé;HORS CONTRAT;10
0060907D;Privé;HORS CONTRAT;10
0061392F;Privé;HORS CONTRAT;10
0061813N;Public;SANS OBJET;99
0062069S;Privé;HORS CONTRAT;10
0062150E;Privé;HORS CONTRAT;10
0071234D;Privé;SANS OBJET;99
0090691C;Public;SANS OBJET;99
0110840D;Privé;HORS CONTRAT;10
0110912G;Privé;HORS CONTRAT;10
0111064X;Privé;HORS CONTRAT;10
0111068B;Privé;HORS CONTRAT;10
0121383N;Public;SANS OBJET;99
0131669U;Privé;HORS CONTRAT;10
0133364L;Public;SANS OBJET;99
0133412N;Public;SANS OBJET;99
0133683H;Privé;HORS CONTRAT;10
0134000C;Privé;HORS CONTRAT;10
0134430V;Privé;HORS CONTRAT;10
0134435A;Privé;HORS CONTRAT;10
0134470N;Privé;HORS CONTRAT;10
0140020W;Public;SANS OBJET;99
0142163A;Public;SANS OBJET;99
0142165C;Public;SANS OBJET;99
0142173L;Public;SANS OBJET;99
0171333G;Public;SANS OBJET;99
0171406L;Public;SANS OBJET;99
0171462X;Public;SANS OBJET;99
0171580A;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0180920C;Public;SANS OBJET;99
0190071Z;Privé;HORS CONTRAT;10
0195023G;Public;SANS OBJET;99
0195046G;Privé;HORS CONTRAT;10
0211551X;Privé;HORS CONTRAT;10
0220068E;Public;SANS OBJET;99
0241254H;Privé;HORS CONTRAT;10
0251992E;Public;SANS OBJET;99
0260111E;Privé;HORS CONTRAT;10
0261550U;Privé;HORS CONTRAT;10
0271074W;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0271618M;Public;SANS OBJET;99
0280043V;Public;SANS OBJET;99
0281202E;Public;SANS OBJET;99
0292198G;Privé;HORS CONTRAT;10
0292373X;Privé;HORS CONTRAT;10
0301657N;Public;SANS OBJET;99
0301757X;Privé;HORS CONTRAT;10
0301797R;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0301806A;Privé;HORS CONTRAT;10
0301807B;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0311635J;Public;SANS OBJET;99
0312303K;Privé;HORS CONTRAT;10
0312310T;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0312346G;Privé;HORS CONTRAT;10
0312457C;Public;SANS OBJET;99
0312778B;Privé;HORS CONTRAT;10
0312801B;Privé;HORS CONTRAT;10
0312882P;Public;SANS OBJET;99
0312917C;Public;SANS OBJET;99
0312926M;Privé;HORS CONTRAT;10
0312970K;Privé;HORS CONTRAT;10
0312980W;Privé;HORS CONTRAT;10
0313055C;Privé;HORS CONTRAT;10
0313116U;Privé;HORS CONTRAT;10
0320689A;Public;SANS OBJET;99
0332601Y;Privé;HORS CONTRAT;10
0332804U;Public;SANS OBJET;99
0332937N;Public;SANS OBJET;99
0333301J;Privé;HORS CONTRAT;10
0340013E;Public;SANS OBJET;99
0340087K;Public;SANS OBJET;99
0341651K;Privé;HORS CONTRAT;10
0341711A;Privé;HORS CONTRAT;10
0341975M;Privé;CONTRAT ASSOCIATION PARTIE DES CLASSES;31
0342221E;Public;SANS OBJET;99
0342263A;Public;SANS OBJET;99
0342289D;Public;SANS OBJET;99
0342319L;Privé;HORS CONTRAT;10
0342437P;Public;SANS OBJET;99
0342461R;Privé;HORS CONTRAT;10
0350805K;Privé;HORS CONTRAT;10
0351789E;Public;SANS OBJET;99
0352178C;Privé;HORS CONTRAT;10
0352457F;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0360781D;Public;SANS OBJET;99
0360846Z;Privé;HORS CONTRAT;10
0383053M;Privé;HORS CONTRAT;10
0383252D;Public;SANS OBJET;99
0383400P;Privé;HORS CONTRAT;10
0391047B;Privé;HORS CONTRAT;10
0391123J;Public;SANS OBJET;99
0391159Y;Public;SANS OBJET;99
0401004Z;Public;SANS OBJET;99
0431029K;Privé;HORS CONTRAT;10
0441551X;Public;SANS OBJET;99
0442273G;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0442364F;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0442649R;Privé;HORS CONTRAT;10
0442726Z;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0451468B;Privé;HORS CONTRAT;10
0451588G;Privé;CONTRAT ASSOCIATION PARTIE DES CLASSES;31
0451589H;Privé;CONTRAT ASSOCIATION PARTIE DES CLASSES;31
0451615L;Public;SANS OBJET;99
0451762W;Public;SANS OBJET;99
0460670D;Public;SANS OBJET;99
0470891N;Public;SANS OBJET;99
0471027L;Privé;HORS CONTRAT;10
0480039G;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0490059Y;Public;SANS OBJET;99
0490819Z;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0490824E;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0492150W;Public;SANS OBJET;99
0492343F;Privé;HORS CONTRAT;10
0492516U;Privé;HORS CONTRAT;10
0500066A;Public;SANS OBJET;99
0511985F;Public;SANS OBJET;99
0512143C;Public;SANS OBJET;99
0521050J;Public;SANS OBJET;99
0521119J;Public;SANS OBJET;99
0540036W;Public;SANS OBJET;99
0542306N;Public;SANS OBJET;99
0560059K;Public;SANS OBJET;99
0561656W;Public;SANS OBJET;99
0561744S;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0561899K;Privé;HORS CONTRAT;10
0562041P;Privé;HORS CONTRAT;10
0570031Z;Public;SANS OBJET;99
0572028V;Public;SANS OBJET;99
0573270V;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0573398J;Public;SANS OBJET;99
0573400L;Public;SANS OBJET;99
0573734Z;Privé;HORS CONTRAT;10
0573788H;Privé;HORS CONTRAT;10
0581012K;Privé;HORS CONTRAT;10
0596949H;Privé;HORS CONTRAT;10
0597135K;Privé;HORS CONTRAT;10
0597234T;Privé;HORS CONTRAT;10
0597319K;Privé;HORS CONTRAT;10
0601613C;Privé;SANS OBJET;99
0611177Y;Public;SANS OBJET;99
0611282M;Privé;HORS CONTRAT;10
0611304L;Privé;HORS CONTRAT;10
0624302P;Public;SANS OBJET;99
0632041B;Public;SANS OBJET;99
0632093H;Public;SANS OBJET;99
0640012R;Public;SANS OBJET;99
0641814Z;Public;SANS OBJET;99
0641911E;Privé;HORS CONTRAT;10
0650971C;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0651061A;Public;SANS OBJET;99
0660015H;Public;SANS OBJET;99
0660928A;Public;SANS OBJET;99
0660970W;Privé;HORS CONTRAT;10
0670042G;Public;SANS OBJET;99
0670088G;Public;SANS OBJET;99
0672421T;Public;SANS OBJET;99
0672656Y;Privé;HORS CONTRAT;10
0672845D;Public;SANS OBJET;99
0672948R;Public;SANS OBJET;99
0673154P;Privé;HORS CONTRAT;10
