"id";"SIRET";"secteur";"public";"public_employer_type";"Rue";"Ville";"Code postal";"Filière"
38289;;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"29 Avenue Raymond Vergès";"La Possession";"97419";"seconde_only"
38290;;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"77 Route de la Ligne Paradis";"Saint-Pierre";"97410";"seconde_troisieme_or_quatrieme"
38291;;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"77 Route de la Ligne Paradis";"Saint-Pierre";"97410";"seconde_troisieme_or_quatrieme"
38292;;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"62 Avenue Joseph Bédier";"Saint-Denis";"97490";"seconde_troisieme_or_quatrieme"
38293;;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"77 Route de la Ligne Paradis";"Saint-Pierre";"97410";"seconde_troisieme_or_quatrieme"
38294;;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"Quai de Strasbourg";"Lunéville";"54300";"seconde_only"
38295;;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"1 Rue Jules Ferry";"Firminy";"42700";"seconde_only"
38296;"94789953000010";"Logistique et transport";FAUX;;"1 Avenue de la Resistance";"Sainte-Geneviève-des-Bois";"91700";"seconde_troisieme_or_quatrieme"
38297;"17930431601086";"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"8 Rue Claude Bernard";"Bobigny";"93000";"seconde_only"
38298;"17510430600014";"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"1 Rue Navier";"Reims";"51100";"seconde_only"
38300;;"Architecture, urbanisme et paysage";FAUX;;"Lecci";"Lecci";"20137";"seconde_troisieme_or_quatrieme"
38301;;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"Gignac";"Gignac";"34150";"seconde_only"
38302;;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"13 Rue Jean-Sébastien Bach";"Saint-Étienne";"42000";"seconde_only"
38303;"17930431601086";"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"8 Rue Claude Bernard";"Bobigny";"93000";"seconde_only"
38304;;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"446 Rue d'Armentieres";"Nieppe";"59850";"seconde_only"
