"id";"secteur";"public";"public_employer_type"
66800;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66801;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66802;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66804;"Paramédical";FAUX;
66809;"Logistique et transport";FAUX;
66810;"Logistique et transport";FAUX;
66811;"Logistique et transport";FAUX;
66812;"Logistique et transport";FAUX;
66813;"Logistique et transport";FAUX;
66814;"Logistique et transport";FAUX;
66815;"Logistique et transport";FAUX;
66816;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66817;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66818;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66819;"Énergie";FAUX;
66820;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66821;"Santé";FAUX;
66822;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66823;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66824;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66825;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66826;"Social";FAUX;
66828;"Social";FAUX;
66829;"Fonction publique";VRAI;"Ministère de l'Intérieur"
66832;"Santé";FAUX;
66833;"Fonction publique";VRAI;"Ministère de l'Intérieur"
66834;"Enseignement";FAUX;
66835;"Fonction publique";VRAI;"Ministère de l'Économie, des Finances et de la Souveraineté industrielle et numérique"
66836;"Fonction publique";VRAI;"Ministère de l'Intérieur"
66837;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66839;"Social";VRAI;"Ministère du Travail, de la Santé, des Solidarités et des Familles"
66840;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66841;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66842;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66843;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66844;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66845;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66846;"Fonction publique";VRAI;"Ministère de l'Intérieur"
66847;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66848;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66849;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66850;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66851;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66852;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66853;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66854;"Fonction publique";VRAI;"Ministère de l'Intérieur"
66855;"Fonction publique";VRAI;"Ministère de la Culture"
66856;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66857;"Fonction publique";VRAI;"Ministère de l'Intérieur"
66858;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66859;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66860;"Fonction publique";VRAI;"Ministère de l'Intérieur"
66861;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66862;"Social";VRAI;"Ministère du Travail, de la Santé, des Solidarités et des Familles"
66863;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66865;"Armées - Défense";VRAI;"Ministère des Armées"
66866;"Banque et assurance";FAUX;
66867;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66869;"Social";FAUX;
66871;"Fonction publique";VRAI;"Ministère de l'Intérieur"
66872;"Fonction publique";VRAI;"Ministère de l'Intérieur"
66873;"Fonction publique";VRAI;"Ministère du Travail, de la Santé, des Solidarités et des Familles"
66874;"Commerce et distribution";FAUX;
66875;"Fonction publique";VRAI;"Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)"
66876;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66877;"Banque et assurance";FAUX;
66878;"Fonction publique";VRAI;"Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)"
66879;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66880;"Fonction publique";VRAI;"Ministère de l'Intérieur"
66881;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66882;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66883;"Fonction publique";VRAI;"Ministère de la Culture"
66884;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66885;"Fonction publique";VRAI;"Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)"
66886;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66887;"Fonction publique";VRAI;"Ministère de l'Intérieur"
66888;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66889;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66890;"Fonction publique";VRAI;"Ministère de l'Intérieur"
66891;"Fonction publique";VRAI;"Ministère de l'Économie, des Finances et de la Souveraineté industrielle et numérique"
66892;"Fonction publique";VRAI;"Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)"
66894;"Fonction publique";VRAI;"Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)"
66895;"Social";FAUX;
66896;"Fonction publique";VRAI;"Ministère de l'Économie, des Finances et de la Souveraineté industrielle et numérique"
66897;"Fonction publique";VRAI;"Ministère du Travail, de la Santé, des Solidarités et des Familles"
66898;"Fonction publique";VRAI;"Ministère de l'Intérieur"
66899;"Fonction publique";VRAI;"Ministère de l'Économie, des Finances et de la Souveraineté industrielle et numérique"
66900;"Droit et justice";VRAI;"Ministère de l'Intérieur"
66901;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66902;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66904;"Banque et assurance";FAUX;
66905;"Fonction publique";VRAI;"Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)"
66906;"Communication";FAUX;
66907;"Bâtiment et travaux publics (BTP)";FAUX;
66908;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66909;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66910;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66911;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66912;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66913;"Commerce et distribution";FAUX;
66914;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66915;"Fonction publique";VRAI;"Ministère du Travail, de la Santé, des Solidarités et des Familles"
66916;"Fonction publique";VRAI;"Ministère de l'Action publique, de la Fonction publique et de la Simplification"
66917;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66918;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66919;"Santé";FAUX;
66920;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66921;"Logistique et transport";FAUX;
66922;"Logistique et transport";FAUX;
66923;"Logistique et transport";FAUX;
66924;"Logistique et transport";FAUX;
66925;"Paramédical";FAUX;
66926;"Sport";FAUX;
66927;"Conseil et audit";FAUX;
66928;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66929;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66930;"Fonction publique";VRAI;"Ministère de l'Intérieur"
66931;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66932;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66933;"Audiovisuel";FAUX;
