ACADEMIE;CODE_RNE (UAI);ID_ETAB_SCONET (ETAB_UAJ_Id);DIVISION (CLASSE);EFFECTIF DECLARE;MINISTERE
Rennes;0221033D;1034;2GR;24;AGRICULTUR
Rennes;0221593M;1035;2DE A;28;AGRICULTUR
Rennes;0221593M;1035;2DE B;28;AGRICULTUR
Rennes;0221593M;1035;2DE C;28;AGRICULTUR
Rennes;0291208F;1043;5284;0;AGRICULTUR
Rennes;0291790N;1051;47010014;13;AGRICULTUR
Rennes;0351947B;1059;2NDE GT;10;AGRICULTUR
Rennes;0221032C;1085;2GT;27;AGRICULTUR
Rennes;0560013K;1116;SGT A;30;AGRICULTUR
Rennes;0560013K;1116;SGTB;30;AGRICULTUR
Rennes;0221624W;1134;2CGEM;18;MER
Rennes;0221624W;1134;2EMM;15;MER
Rennes;0221624W;1134;2MN;16;MER
Rennes;0291107W;1135;2PM1;12;MER
Rennes;0291107W;1135;2PM2;24;MER
Rennes;0351914R;1136;2CGEM;24;MER
Rennes;0351914R;1136;2CM;12;MER
Rennes;0351914R;1136;2EMM;24;MER
Rennes;0561486L;1137;2CM;12;MER
Rennes;0561486L;1137;36952;24;MER
Rennes;0561486L;1137;37317;24;MER
Rennes;0350700W;1155;2NDE1;33;AGRICULTUR
Rennes;0350700W;1155;2NDE2;33;AGRICULTUR
Reunion;;;;;
Rouen;0762735K;562;2NDE A;24;MER
Rouen;0762735K;562;2NDE B;24;MER
Rouen;0761315S;606;21;32;AGRICULTUR
Rouen;0761315S;606;22;32;AGRICULTUR
Rouen;0761315S;606;23;32;AGRICULTUR
Strasbourg;;;;;
Toulouse;0810833R;1303;2NDEG;14;AGRICULTUR
Toulouse;0120867C;1305;2GT;24;AGRICULTUR
Versailles;0910831J;1799;2A;25;AGRICULTUR
Versailles;0780004F;1826;2GT;81;AGRICULTUR
Versailles;0780015T;1629;501;30;DEFENSE
Versailles;0780015T;1629;502;30;DEFENSE
Versailles;0780015T;1629;503;30;DEFENSE
Versailles;0780015T;1629;504;30;DEFENSE
Versailles;0780015T;1629;505;30;DEFENSE
Versailles;0780015T;1629;506;45;DEFENSE
Versailles;0780015T;1629;507;45;DEFENSE
Aix-Marseille;0134252B;1188;2ND09;35
Aix-Marseille;0131485U;928;2 MP3D;18
Aix-Marseille;0131485U;928;2 PR ECP;16
Aix-Marseille;0131485U;928;2 PREAL;18
Aix-Marseille;0131485U;928;2PRE AT;18
Aix-Marseille;0840021S;251;2GT1;28
Aix-Marseille;0840021S;251;2GT10;28
Aix-Marseille;0840021S;251;2GT11;28
Aix-Marseille;0840021S;251;2GT2;28
Aix-Marseille;0840021S;251;2GT3;28
