uai;type_etab;nom_etablissement;adresse;code_postal;commune;position;voie_generale;voie_techno;voie_pro;etab_mere;nbeleves;voie_gt;rentree_scolaire;nombre_d_eleves;2ndes_gt;_merge;nbeleves_est;2des_est
0133395V;Lycée;Lycée polyvalent Sainte-Marie;2 rue de Jouques;13100.0;Aix-en-Provence;43.531775904879396, 5.446209973241101;0.0;1.0;1.0;;320.0;True;2022.0;111.0;30.0;both;111.0;30.0
0381660Y;Lycée;Lycée général privé Sainte-Cécile- Institution Saint-François;18 avenue Maréchal Foch;38260.0;La Côte-Saint-André;45.39194986308959, 5.254850562131002;1.0;0.0;0.0;;338.0;True;2022.0;338.0;111.0;both;338.0;111.0
0490835S;Lycée;Lycée Saint-Joseph;50 rue de la Loire;49620.0;Mauges-sur-Loire;47.35993039832817, -0.8600599828892151;1.0;0.0;0.0;;282.0;True;2022.0;282.0;110.0;both;282.0;110.0
0623915U;Lycée;Lycée Voltaire;9 Place Bertin Ledoux;62410.0;Wingles;50.488411414449956, 2.8546904110900857;1.0;1.0;0.0;;996.0;True;2022.0;996.0;369.0;both;996.0;369.0
0750651A;Lycée;Lycée polyvalent Simone Weil;7 rue de Poitou;75003.0;Paris;48.86135218900356, 2.3640346171235267;1.0;1.0;0.0;;533.0;True;2022.0;310.0;92.0;both;310.0;92.0
0910620E;Lycée;Lycée Robert Doisneau;89 avenue Serge Dassault;91813.0;Corbeil-Essonnes;48.61309766332666, 2.4592777190707977;1.0;1.0;1.0;;2199.0;True;2022.0;1687.0;563.0;both;1687.0;563.0
0932577W;Lycée;Lycée Germaine Tillion;48 bis rue Anizan Cavaillon;93350.0;Le Bourget;48.934753151970135, 2.419802820395747;1.0;1.0;0.0;;698.0;True;2022.0;698.0;237.0;both;698.0;237.0
0131456M;Lycée;Lycée polyvalent Pastré - Grande Bastide;32 traverse Pastré;13009.0;Marseille;43.26278814317507, 5.422171758098137;1.0;1.0;1.0;;412.0;True;2022.0;205.0;70.0;both;205.0;70.0
0911961M;Lycée;Lycée Edmond Michelet;2 boulevard Abel Cornaton;91294.0;Arpajon;48.58644961019987, 2.246926963990742;1.0;1.0;0.0;;1162.0;True;2022.0;1162.0;451.0;both;1162.0;451.0
0910627M;Lycée;Lycée Jean-Baptiste Corot - Le château;Place Davout;91600.0;Savigny-sur-Orge;48.67587403845357, 2.3532040841344024;1.0;1.0;0.0;;2106.0;True;2022.0;2106.0;732.0;both;2106.0;732.0
0220058U;Lycée;Lycée polyvalent Chaptal;6 allée Chaptal;22015.0;Saint-Brieuc;48.51237673676488, -2.7360594254372805;1.0;1.0;1.0;;471.0;True;2022.0;242.0;70.0;both;242.0;70.0
0131344R;Lycée;Lycée Cours Bastide;50 rue de Lodi;13006.0;Marseille;43.28970596843975, 5.38692000476291;1.0;0.0;0.0;;233.0;True;2022.0;233.0;92.0;both;233.0;92.0
0690538K;Lycée;Lycée Pierre Termier;23 rue des Alouettes;69008.0;Lyon;45.741488013353944, 4.873018125158992;1.0;0.0;0.0;;406.0;True;2022.0;406.0;156.0;both;406.0;156.0
0134101M;Lycée;Lycée polyvalent privé Saint Louis;538 chemin de la Madrague-Ville;13015.0;Marseille;43.34696856228714, 5.355397620915075;0.0;1.0;1.0;;265.0;True;2022.0;24.0;8.0;both;24.0;8.0
0442834S;Lycée;Lycée général et technologique Honoré d'Estienne d'Orves;2 Esplanade du lycée;44470.0;Carquefou;47.279991658359705, -1.4909504595793455;1.0;1.0;0.0;;1035.0;True;2022.0;1035.0;349.0;both;1035.0;349.0
0541305A;Lycée;Lycée de l'Assomption;1 rue du Maréchal Foch;54150.0;Val de Briey;49.24990948204536, 5.938679453285327;1.0;0.0;0.0;;98.0;True;2022.0;98.0;49.0;both;98.0;49.0
0912364A;Lycée;Lycée Nikola Tesla;15-21 Chemin du Champ de Courses;91410.0;Dourdan;48.53430077972147, 1.9901027277715995;1.0;1.0;1.0;;1813.0;True;2022.0;1298.0;418.0;both;1298.0;418.0
0141178E;Lycée;Lycée Technologique Sainte-Ursule;1 place Wurzburg;14000.0;Caen;49.201378741252476, -0.3804393207411717;0.0;1.0;0.0;;257.0;True;2022.0;257.0;51.0;both;257.0;51.0
0750694X;Lycée;Lycée Camille Sée;11 rue Léon Lhermitte;75015.0;Paris;48.84299077854994, 2.2969840860656223;1.0;0.0;0.0;;493.0;True;2022.0;493.0;200.0;both;493.0;200.0
0750703G;Lycée;Lycée Molière;71 rue du Ranelagh;75016.0;Paris;48.855000626527904, 2.2721249445436613;1.0;0.0;0.0;;635.0;True;2022.0;635.0;238.0;both;635.0;238.0
0750684L;Lycée;Lycée Gabriel Fauré;81 avenue de Choisy;75013.0;Paris;48.824045272807375, 2.361407304319577;1.0;0.0;0.0;;579.0;True;2022.0;579.0;248.0;both;579.0;248.0
0370749N;Lycée;Lycée privé Sainte-Marguerite;1 rue Horizon Vert;37171.0;Chambray-lès-Tours;47.346448833331124, 0.7223299818683337;1.0;1.0;0.0;;228.0;True;2022.0;228.0;98.0;both;228.0;98.0
0130040Y;Lycée;Lycée Thiers;5 place du Lycée;13232.0;Marseille;43.296854155506374, 5.382610144906995;1.0;1.0;0.0;;834.0;True;2022.0;834.0;313.0;both;834.0;313.0
0750689S;Lycée;Lycée Paul Bert;7 rue Huyghens;75014.0;Paris;48.84088231184501, 2.328867020425414;1.0;1.0;0.0;;489.0;True;2022.0;489.0;174.0;both;489.0;174.0
0760096S;Lycée;Lycée Gustave Flaubert;1 rue Albert Dupuis;76044.0;Rouen;49.45081075749357, 1.122487422397933;1.0;1.0;0.0;;1180.0;True;2022.0;1180.0;372.0;both;1180.0;372.0
0130039X;Lycée;Lycée Saint-Charles;5 rue Guy Fabre;13232.0;Marseille;43.305892052603895, 5.392089487859632;1.0;1.0;0.0;;1262.0;True;2022.0;1238.0;429.0;both;1238.0;429.0
0383208F;Lycée;Lycée polyvalent privé Philippine Duchesne;118 avenue de l'Eygala;38700.0;Corenc;45.19856559870427, 5.751622260035766;1.0;1.0;1.0;;1004.0;True;2022.0;814.0;267.0;both;814.0;267.0
