name,city,department,zipcode,code_uai,coordinates,street,created_at,updated_at,city_tsv,kind,visible,internship_agreement_online,fetched_school_phone
Gérard Café,Fort-de-France,Martinique,97200,9720447D,POINT (-61.0732 14.6056),Boulevard Allegre,2019-08-07 10:51:45 +0200,2024-01-04 12:40:47 +0100,'caf':6 'de':3 'fort':2 'fort-de-fr':1 'franc':4 'gerard':5,rep,true,false,
Eugène Mona,Le Marigot,Martinique,97225,9720028Y,POINT (-61.0242 14.8206),Rue de la Baignoire,2019-08-07 10:51:45 +0200,2024-01-04 12:40:47 +0100,'eugen':3 'le':1 'marigot':2 'mon':4,rep,true,false,
Henri Barbusse,Vaulx-en-Velin,Rhône,69120,0692336P,POINT (4.9161622 45.7858935),,2019-08-07 10:51:42 +0200,2024-01-04 14:51:11 +0100,'barbuss':6 'en':3 'henr':5 'vaulx':2 'vaulx-en-velin':1 'velin':4,rep_plus,true,false,
Jean de la Bruyère,Tours,Indre-et-Loire,37100,0371158H,POINT (0.6827241 47.4195722),,2019-08-07 10:51:51 +0200,2024-01-04 14:51:11 +0100,'bruyer':5 'de':3 'jean':2 'la':4 'tour':1,qpv,true,false,
Jules Vallès,La Ricamarie,Loire,42150,0421689H,POINT (4.3681144 45.3995978),,2019-08-07 10:51:42 +0200,2024-01-04 14:51:11 +0100,'jul':3 'la':1 'ricamar':2 'vall':4,rep_plus,true,false,
Maria Casarès,Rillieux-la-Pape,Rhône,69140,0691498D,POINT (4.899073599999999 45.8177657),,2019-08-07 10:51:42 +0200,2024-01-04 14:51:11 +0100,'casar':6 'la':3 'mari':5 'pap':4 'rillieux':2 'rillieux-la-pap':1,rep_plus,true,false,
Boieldieu,Rouen,Seine-Maritime,76000,0760100W,POINT (1.1330938 49.458585),,2019-08-07 10:51:42 +0200,2024-01-04 14:51:11 +0100,'boieldieu':2 'rouen':1,rep_plus,true,false,
Denis Diderot,Besançon,Doubs,25000,0251080N,POINT (5.9715266 47.2213643),,2019-08-07 10:51:42 +0200,2024-01-04 14:51:11 +0100,'besancon':1 'den':2 'diderot':3,rep_plus,true,false,
Alain,Saint-Fons,Rhône,69190,0692342W,POINT (4.856013600000001 45.6968244),,2019-08-07 10:51:42 +0200,2024-01-04 14:51:11 +0100,'alain':4 'fon':3 'saint':2 'saint-fon':1,rep_plus,true,false,
Jules Michelet,Vénissieux,Rhône,69200,0690094C,POINT (4.8721492 45.68878540000001),,2019-08-07 10:51:42 +0200,2024-01-04 14:51:12 +0100,'jul':2 'michelet':3 'venissi':1,rep_plus,true,false,
Jacques Duclos,Lyon,Rhône,69120,0691793Z,POINT (4.9227172 45.75547659999999),,2019-08-07 10:51:42 +0200,2024-01-04 14:51:12 +0100,'duclos':3 'jacqu':2 'lyon':1,rep_plus,true,false,
Anatole France,Bethoncourt,Doubs,25200,0251209D,POINT (6.804711999999999 47.5377867),,2019-08-07 10:51:42 +0200,2024-01-04 14:51:12 +0100,'anatol':2 'bethoncourt':1 'franc':3,rep_plus,true,false,
Les Hauts de Blémont,Metz,Moselle,57070,0570127D,POINT (6.2272732 49.1182222),,2019-08-07 10:51:42 +0200,2024-01-04 14:51:12 +0100,'blemont':5 'de':4 'haut':3 'le':2 'metz':1,rep_plus,true,false,
Jean Moulin,Alès,Gard,30100,0301013N,POINT (4.0784256 44.1319805),,2019-08-07 10:51:42 +0200,2024-01-04 14:51:12 +0100,'ale':1 'jean':2 'moulin':3,rep_plus,true,false,
Pierre Valdo,Vaulx-en-Velin,Rhône,69120,0690249W,POINT (4.9293195 45.7784285),,2019-08-07 10:51:42 +0200,2024-01-04 14:51:12 +0100,'en':3 'pierr':5 'valdo':6 'vaulx':2 'vaulx-en-velin':1 'velin':4,rep_plus,true,false,
Évariste Gallois,Meyzieu,Rhône,69330,0692335N,POINT (4.98957 45.7759),10 Avenue du Carreau,2019-10-04 11:39:45 +0200,2024-01-04 14:51:21 +0100,'evar':2 'gallois':3 'meyzieu':1,qpv_proche,true,false,
