EP 2023-2024;Numéro d'établissement;Patronyme;Appartenance à un REP 2015 Lib L;Appartenance à un REPPLUS Lib L;En QPV 2024 DEPP oui/non
Hors EP;0421979Y;SAINTE ANNE;NON;NON;
Hors EP;0421980Z;ENSEMBLE SCOLAIRE LA SALLE;NON;NON;Dans QP
Hors EP;0693786R;JEHANNE DE FRANCE;NON;NON;Dans QP
Hors EP;0690641X;SAINT MARC;NON;NON;
Hors EP;0690651H;SAINT JOSEPH;NON;NON;
Hors EP;0690652J;ATELIERS APPREN DE L'INDUSTRIE;NON;NON;Dans QP
Hors EP;0690653K;ORSEL;NON;NON;Dans QP
Hors EP;0690660T;JAPY;NON;NON;
Hors EP;0690697H;LA FAVORITE SAINTE THERESE;NON;NON;
Hors EP;0690698J;SOCIETE ENSEIG. PROF. DU RHONE;NON;NON;Dans QP
Hors EP;0690712Z;SAINT LOUIS-SAINT BRUNO;NON;NON;
Hors EP;0691680B;SAINT CHARLES;NON;NON;Dans QP
Hors EP;0691723Y;DE COIFFURE DE LYON;NON;NON;
Hors EP;0691724Z;DES ARTS DE LA COIFFURE;NON;NON;
Hors EP;0691875N;INST TECHN CARRIERES CAROLE;NON;NON;
Hors EP;0693332X;LA VIDAUDE;NON;NON;
Hors EP;0693370N;JEAN-BAPTISTE DE LA SALLE;NON;NON;
Hors EP;0693371P;DON BOSCO;NON;NON;
Hors EP;0693373S;CARREL;NON;NON;
Hors EP;0693374T;LA MACHE;NON;NON;Dans QP
Hors EP;0693375U;NOTRE DAME;NON;NON;Dans QP
Hors EP;0693406C;O R T;NON;NON;Dans QP
Hors EP;9720073X;SAINT JEAN-PAUL II;NON;NON;Dans QP
Hors EP;9720074Y;ST JOSEPH DE CLUNY;NON;NON;Dans QP
Hors EP;0300112J;CCI GARD;NON;NON;Dans QP
Hors EP;0301499S;D'ALZON SAINT-FELIX;NON;NON;Dans QP
Hors EP;0300028T;CEVENOL;NON;NON;Dans QP
Hors EP;0300106C;SAINTE-MARIE;NON;NON;Dans QP
Hors EP;0300109F;PASTEUR;NON;NON;Dans QP
Hors EP;0340923U;LE PARTERRE;NON;NON;Dans QP
Hors EP;0340992U;LE SACRE COEUR;NON;NON;Dans QP
Hors EP;0542295B;SAINT MICHEL;NON;NON;
Hors EP;0542448T;CLAUDE DAUNOT;NON;NON;
Hors EP;0541344T;SAINT MICHEL;NON;NON;
Hors EP;0541357G;NOTRE DAME;NON;NON;Dans QP
Hors EP;0541363N;PIERRE DE COUBERTIN;NON;NON;
Hors EP;0541364P;MARIE IMMACULEE;NON;NON;
Hors EP;0541370W;CLAUDE DAUNOT;NON;NON;
Hors EP;0541377D;JEAN-BAPTISTE VATELOT;NON;NON;
Hors EP;0541998D;CHARLES DE FOUCAULD;NON;NON;Dans QP
Hors EP;0550700M;NOTRE DAME DES VERTUS;NON;NON;
Hors EP;0550983V;SAINTE ANNE;NON;NON;Dans QP
Hors EP;0551032Y;SAINTE JEANNE D'ARC;NON;NON;
Hors EP;0573519R;SAINT ANDRE;NON;NON;
Hors EP;0570225K;INTERENTREPRISES BOULAY-FAULQU;NON;NON;
Hors EP;0570241C;SAINT VINCENT DE PAUL;NON;NON;
Hors EP;0570248K;ANTOINE GAPP;NON;NON;
Hors EP;0570268G;SAINTE CHRETIENNE;NON;NON;Dans QP
Hors EP;0570279U;LA PROVIDENCE;NON;NON;
Hors EP;0570283Y;ST ETIENNE;NON;NON;
Hors EP;0570294K;SAINTE MARIE;NON;NON;Dans QP
Hors EP;0572101Z;SAINT ANDRE;NON;NON;
Hors EP;0572951Y;NOTRE DAME DE LA PROVIDENCE;NON;NON;Dans QP
Hors EP;0880120C;NOTRE DAME DE LA PROVIDENCE;NON;NON;Dans QP
Hors EP;0880133S;JEANNE D'ARC;NON;NON;
Hors EP;0881498A;JEANNE D'ARC;NON;NON;Dans QP
Hors EP;0881530K;NOTRE DAME - SAINT JOSEPH;NON;NON;Dans QP
Hors EP;0881623L;HORTICULTURE ET PAYSAGE;NON;NON;
Hors EP;0881651S;JEANNE D'ARC;NON;NON;
Hors EP;0440255N;ENCIA;NON;NON;
Hors EP;0440261V;ST THOMAS D'AQUIN;NON;NON;
Hors EP;0440262W;NAZARETH;NON;NON;Dans QP
Hors EP;0440267B;PIERRE MASSON;NON;NON;Dans QP
Hors EP;0440282T;LE MASLE;NON;NON;
Hors EP;0440307V;STE THERESE;NON;NON;
Hors EP;0442071M;HOTELIER DANIEL BROTTIER;NON;NON;
Hors EP;0442775C;SAINT-FELIX - LA SALLE;NON;NON;
Hors EP;0490886X;LA PROVIDENCE;NON;NON;
Hors EP;0490903R;DOM SORTAIS;NON;NON;
Hors EP;0490910Y;LES ARDILLIERS;NON;NON;Dans QP
Hors EP;0492432C;JOSEPH WRESINSKI;NON;NON;Dans QP
Hors EP;0530073S;DON BOSCO;NON;NON;
Hors EP;0530904V;IMMACULEE CONCEPTION;NON;NON;
Hors EP;0720822C;STE CATHERINE;NON;NON;Dans QP
Hors EP;0720825F;JOSEPH ROUSSEL;NON;NON;
Hors EP;0851504Y;ST GABRIEL;NON;NON;
Hors EP;0851516L;ST MICHEL;NON;NON;
Hors EP;0851643Z;ST FRANCOIS D'ASSISE;NON;NON;Dans QP
Hors EP;0060715V;LA PROVIDENCE;NON;NON;Dans QP
Hors EP;0060776L;SAINT VINCENT DE PAUL;NON;NON;
Hors EP;0061394H;LES FAUVETTES;NON;NON;
Hors EP;0061462G;DON BOSCO;NON;NON;
Hors EP;0830114Y;SAINTE MARTHE;NON;NON;
Hors EP;0830116A;MARIE FRANCE;NON;NON;Dans QP
Hors EP;0830128N;LA COLETTE;NON;NON;Dans QP
Hors EP;0831187P;EXTERNAT SAINT JOSEPH LA CORDE;NON;NON;Dans QP
Hors EP;0142108R;NOTRE DAME DE NAZARETH;NON;NON;
Hors EP;0141186N;L'OASIS;NON;NON;
Hors EP;0141191U;NOTRE DAME DE FIDELITE;NON;NON;
Hors EP;0141192V;SAINT-JOSEPH;NON;NON;
Hors EP;0141193W;NOTRE DAME DE NAZARETH;NON;NON;
Hors EP;0141197A;VICTORINE MAGNE;NON;NON;
Hors EP;0141866C;INSTITUT LEMONNIER;NON;NON;Dans QP
Hors EP;0141867D;SAINTE URSULE;NON;NON;
Hors EP;0141868E;LES ROSIERS;NON;NON;
Hors EP;0271073V;SAINTE AGNES;NON;NON;Dans QP
Hors EP;0271074W;JEANNE D'ARC - SAINT ANSELME;NON;NON;Dans QP
Hors EP;0271081D;SAINT OUEN;NON;NON;Dans QP
Hors EP;0500132X;INGENIEUR CACHIN;NON;NON;Dans QP
Hors EP;0501787W;NOTRE DAME DE LA PROVIDENCE;NON;NON;
Hors EP;0501788X;THOMAS HELYE;NON;NON;Dans QP
Hors EP;0501789Y;LE BON SAUVEUR;NON;NON;Dans QP
Hors EP;0501825M;INSTITUT SAINT LO;NON;NON;Dans QP
Hors EP;0501941N;INSTITUTION NOTRE DAME;NON;NON;
Hors EP;0610721C;JEANNE D ARC;NON;NON;Dans QP
Hors EP;0610724F;GIEL DON BOSCO;NON;NON;
Hors EP;0761341V;LES TOURELLES;NON;NON;
Hors EP;0762442S;SAINT JOSEPH;NON;NON;
