Identifiant_de_l_etablissement,Nom_etablissement,Type_etablissement,Statut_public_prive,Segpa,Lycee_Agricole,Lycee_militaire,code_nature,libelle_nature,Code_type_contrat_prive,etablissement_mere,type_rattachement_etablissement_mere,
0301381N,Section d'enseignement général et professionnel adapté du Collège Denis Diderot,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0301014P,
0301665X,Section d'enseignement général et professionnel adapté du collège Jean Vilar,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0300037C,
0301803X,Ecole privée Steiner-Waldorf Caminarem, Ecole secondaire privée,Collège,,,,0,,340,10,,
0301835G,Section d'enseignement général et professionnel adapté du Collège,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0300050S,
0310090E,Section d'enseignement professionnel du Lycée polyvalent Déodat de Séverac,Lycée,Public,0,,,,334,SECTION D ENSEIGNEMENT PROFESSIONNEL,,0310044E,
0311320S,Section d'enseignement général et professionnel adapté du Collège Louisa Paulin,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0311319R,
0311331D,Section d'enseignement général et professionnel adapté du Collège Jean Rostand,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0311330C,
0311585E,Section d'enseignement général et professionnel adapté du Collège Toulouse-Lautrec,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0311112R,
0311758T,Ecole générale et technologique privée de photographie et d'audiovisuel,Lycée,Privé,0,,,,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,,,
0312286S,Section d'enseignement professionnel du Lycée polyvalent lycée des métiers Hôtellerie et Tourisme,Lycée,Public,0,,,,334,SECTION D ENSEIGNEMENT PROFESSIONNEL,,0310046G,
0312310T,Section professionnelle du Lycée polyvalent privé Emilie de Rodat,Lycée,Privé,0,,,,334,SECTION D ENSEIGNEMENT PROFESSIONNEL,,0311134P,
0312457C,Section d'enseignement général et technologique du Lycée professionnel Hélène Boucher,Lycée,Public,0,,,,335,SECTION ENSEIGT GENERAL ET TECHNOLOGIQUE,,0310057U,
0312801B,Ecole secondaire privée hors contrat Cours privés Molière,Lycée,Privé,0,,,,302,LYCEE D ENSEIGNEMENT GENERAL,,,
0312883R,Section d'enseignement général et technologique du Lycée professionnel privé Jasmin coiiffure,Lycée,Privé,0,,,,335,SECTION ENSEIGT GENERAL ET TECHNOLOGIQUE,,0311190A,
0312947K,Ecole secondaire privée hors contrat Association Nectarine,Collège,Privé,0,,,,340,COLLEGE,,,
0312970K,LGT PR INSTITUT PRIVE ALIF,Lycée,Privé,0,,,,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,,,
0313051Y,COLLEGE PRIVE LA BOETIE,Collège,Privé,0,,,,340,COLLEGE,,,
0313052Z,COLLEGE PRIVE DEUTSCHE SCHULE,Collège,Privé,0,,,,340,COLLEGE,,,
0313176J,Lycée général privé hors contrat Frizbi,Lycée,Privé,0,,,302,LYCEE D ENSEIGNEMENT GENERAL,10,,,
0320706U,Section d'éducation spéciale du Collège privé Oratoire Ste-Marie,Collège,Privé,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0320650H,
0320738D,Section d'enseignement général et technologique du Lycée professionnel Clément Ader,Lycée,Public,0,,,,335,SECTION ENSEIGT GENERAL ET TECHNOLOGIQUE,,0320030J,
0332282B,Lycée agricole privé de Villenave,Lycée,Privé,0,,,,320,LYCEE PROFESSIONNEL,,,
0332803T,Section d'enseignement professionnel du Lycée polyvalent A. Kastler,Lycée,Public,0,,,,334,SECTION D ENSEIGNEMENT PROFESSIONNEL,,0330135T,
0332834B,Section d'enseignement professionnel du Lycée polyvalent Les Iris,Lycée,Public,0,,,,334,SECTION D ENSEIGNEMENT PROFESSIONNEL,,0332832Z,
0332937N,Section d'enseignement professionnel du Lycée polyvalent Jean Monnet,Lycée,Public,0,,,,334,SECTION D ENSEIGNEMENT PROFESSIONNEL,,0330089T,
0333276G,Section d'enseignement professionnel du lycée polyvalent Vaclav Haval,Lycée,Public,0,,,,334,SECTION D ENSEIGNEMENT PROFESSIONNEL,,0333273D,
0333456C,Collège notre dame de verdelais de saint-macaire,Collège,Privé,0,,,,340,COLLEGE,,,
0333473W,Collège privé bordeaux international school  bis,Collège,Privé,0,,,,340,COLLEGE,,,
0333508J,COLLEGE COURS PERET BORDEAUX,Collège,Privé,0,,,,340,COLLEGE,,,
0333566X,Ecole Montessori bilingue Bordeaux Rive droite Eclosion des fleurs,Collège,Privé,0,,,,340,COLLEGE,,,
0340088L,Section d'enseignement professionnel du lycée polyvalent Irène et Frédéric Joliot-Curie,Lycée,Public,0,,,,334,SECTION D ENSEIGNEMENT PROFESSIONNEL,0340076Y,0340076Y,
0340987N,Section d'enseignement général et professionnel adapté du Collège Simone Veil,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0340955D,
0341279F,Section d'enseignement général et professionnel adapté du Collège Arthur Rimbaud,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0341278E,
0341281H,Section d'enseignement général et professionnel adapté du Collège Les Deux Pins,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0340025T,
0341829D,Section d'enseignement professionnel du Lycée Jules Guesde,Lycée,Public,0,,,,334,SECTION D ENSEIGNEMENT PROFESSIONNEL,,0340040J,
0341830E,Section d'enseignement professionnel du Lycée Joseph Vallot,Lycée,Public,0,,,,334,SECTION D ENSEIGNEMENT PROFESSIONNEL,,0340028W,
0342060E,Section d'enseignement général et technologique du Lycée professionnel Mendès France,Lycée,Public,0,,,,335,SECTION ENSEIGT GENERAL ET TECHNOLOGIQUE,,0340043M,
0342199F,Section d'enseignement général et professionnel adapté du collège privé Nazareth,Collège,Privé,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0341726S,
0342243D,Section d'enseignement générale et professionnel adapté du collège,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0342224H,
0342249K,Section d'enseignement profesionnel, lycée polyvalent privé Saint-Joseph Pierre Rouge,Lycée,,,,0,,334,30,,
0342263A,Section d'enseignement général et technologique du Lycée professionnel Charles Allies,Lycée,Public,0,,,,335,SECTION ENSEIGT GENERAL ET TECHNOLOGIQUE,,0340061G,
0342264B,Ecole du second degré professionnelle privée Adonis,Lycée,Privé,0,,,,320,LYCEE PROFESSIONNEL,,,
0342289D,Section d'enseignement  professionnel, Lycée polyvalent  Georges Frêche,Lycée,,,,0,,334,99,,
0342575P,Ecole de la Grâce (Ecole du second degré général privée),Collège,Privé,0,,,,340,COLLEGE,,,
0342589E,Collège privé l'Arbrapépins,Collège,Privé,0,,,,340,COLLEGE,,,
0352178C,Ecole technique privée Association Odorico,Lycée,Privé,0,,,,320,LYCEE PROFESSIONNEL,,,
0352284T,Section d'enseignement professionnel du Lycée polyvalent Jacques Cartier,Lycée,Public,0,,,,334,SECTION D ENSEIGNEMENT PROFESSIONNEL,,0350048M,
0352456E,Section professionnelle du Lycée polyvalent privé La Providence,Lycée,Privé,0,,,,334,SECTION D ENSEIGNEMENT PROFESSIONNEL,,0351930H,
0352457F,Section professionnelle du Lycée polyvalent privé Marcel Callo,Lycée,Privé,0,,,,334,SECTION D ENSEIGNEMENT PROFESSIONNEL,,0350791V,
0352804H,Ecole internationale de coiffure et d'esthétique Silvya Terrade,Lycée,Privé,0,,,,320,LYCEE PROFESSIONNEL,,,
0352881S,IMIE RENNES,Lycée,Privé,0,,,,320,LYCEE PROFESSIONNEL,,,
0352894F,Collège privé HC Ste-Philomène,Collège,Privé,0,,,,340,COLLEGE,,,
0353139X,Ecole secondaire privée hors-contrat La Maison Sainte-Anne,Collège,Privé,0,,,,340,COLLEGE,,,
0360020B,Section d'enseignement professionnel du Lycée polyvalent George Sand,Lycée,Public,0,,,,334,SECTION D ENSEIGNEMENT PROFESSIONNEL,,0360019A,
0360618B,Section d'enseignement général et professionnel adapté du Collège Les Menigouttes,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0360719L,
0360699P,Section d'enseignement général et professionnel adapté du Collège La Chatre,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0360720M,
0360874E,Ecole secondaire La Maison des Enfants,Collège,Privé,0,,,,340,COLLEGE,,,
0370688X,Section d'enseignement général et professionnel adapté du Collège Pierre de Ronsard,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0370033K,
0371288Z,Section d'enseignement général et professionnel adapté du Collège La Rabière,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0370071B,
0371289A,Section d'enseignement général et professionnel adapté du Collège André Bauchant,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0370007G,
0371518Z,Section d'enseignement général et technologique du Lycée professionnel Albert Bayet,Lycée,Public,0,,,,335,SECTION ENSEIGT GENERAL ET TECHNOLOGIQUE,,0370040T,
0371591D,Section d'enseignement général et technologique du Lycée professionnel Jean Chaptal,Lycée,Public,0,,,,335,SECTION ENSEIGT GENERAL ET TECHNOLOGIQUE,,0371123V,
0371690L,Segpa du collège privé Saint Gatien,Collège,Privé,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0370740D,
0381811M,Section d'enseignement général et professionnel adapté du Collège Gérard Philipe,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0381810L,
0381897F,Section d'enseignement général et professionnel adapté du Collège Chartreuse,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0382036G,
0381904N,Section d'enseignement général et professionnel adapté du Collège Jean Vilar,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0381903M,
0382178L,Section d'enseignement général et professionnel adapté du Collège Plan Menu,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0382495F,
0382267H,Section d'enseignement général et professionnel adapté du Collège René Desnos,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0382266G,
0382496G,Section d'enseignement général et professionnel adapté du Collège Marcel Chêne,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0381905P,
0383053M,Ecole technique privée SILVYA TERRADE GRENOBLE,Lycée,Privé,0,,,,301,LYCEE D ENSEIGNEMENT TECHNOLOGIQUE,,,
0383245W,Section d'enseignement général et professionnel adapté du Collège Le Grand Champ,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0382110M,
0383400P,Ecole de production Jean-Marie Vianney,Lycée,Privé,0,,,,320,LYCEE PROFESSIONNEL,,,
0383486H,Oneschool global chanas campus,Collège,Privé,0,,,,340,COLLEGE,,,
0390913F,Section d'enseignement général et professionnel adapté du Collège Saint-Exupéry,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0390907Z,
0391222S,Ecole d'esthétique et de coiffure Silvya Terrade,Lycée,Privé,0,,,,320,LYCEE PROFESSIONNEL,,,
0400052P,Section d'enseignement professionnel du Lycée polyvalent de Borda,Lycée,Public,0,,,,334,SECTION D ENSEIGNEMENT PROFESSIONNEL,,0400007R,
0410791M,Section d'enseignement général et professionnel adapté du Collège Les Provinces,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0410790L,
0410816P,Section d'enseignement général et professionnel adapté du Collège Jean Emond,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0410768M,
0410857J,Section d'enseignement général et professionnel adapté du Collège Jean Rostand,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0410008L,
0411067M,Section d'enseignement général et professionnel adapté du Collège privé Saint Charles,Collège,Privé,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0410678P,
0420999H,Section d'enseignement professionnel du Lycée polyvalent privé La Salésienne,Lycée,Privé,0,,,,334,SECTION D ENSEIGNEMENT PROFESSIONNEL,,0422158T,
0421005P,Section d'enseignement professionnel du Lycée polyvalent privé Renouveau,Lycée,Privé,0,,,,334,SECTION D ENSEIGNEMENT PROFESSIONNEL,,0422160V,
0422027A,Ecole professionnelle privée Beauty Académie,Lycée,Privé,0,,,,320,LYCEE PROFESSIONNEL,,,
0422347Y,Ecole privée d'esthétique cosmétique Epec Darfeuille Roanne,Lycée,Privé,0,,,,320,LYCEE PROFESSIONNEL,,,
0422351C,Ecole secondaire privée Luqman,Collège,Privé,0,,,,340,COLLEGE,,,
0422356H,Ecole secondaire privée Saint-Nicolas de Briennon,Collège,Privé,0,,,,340,COLLEGE,,,
0422361N,Ecole secondaire privée Montessori St Louis,Collège,Privé,0,,,,340,COLLEGE,,,
0422401G,Ecole technique privée - Ecole de production La Plane,Lycée,Privé,0,,,320,LYCEE PROFESSIONNEL,10,,,
0440294F,Section d'enseignement professionnel du LPO G.Moquet - E.Lenoir,Lycée,Public,0,,,,334,SECTION D ENSEIGNEMENT PROFESSIONNEL,,0440005S,
0440535T,Section d'enseignement général et professionnel adapté du Collège Salvador Allende,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0440534S,
0441614R,Section d'enseignement général et professionnel adapté du Collège Pierre Norange,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0441613P,
0441726M,Section d'enseignement général et professionnel adapté du Collège Louise Michel,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0441862K,
0442387F,Section d'enseignement général et technologique du Lycée professionnel Le Masle,Lycée,Privé,0,,,,335,SECTION ENSEIGT GENERAL ET TECHNOLOGIQUE,,0440282T,
0442487P,Section d'enseignement général et professionnel adapté privée du Collège notre-dame de toutes aides,Collège,Privé,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0441935P,
0442663F,Section d'Enseignement général et professionnel adapté du Collège Raymond Queneau,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0440018F,
0442883V,Cours Saint Albert le Grand,Lycée,Privé,0,,,,302,LYCEE D ENSEIGNEMENT GENERAL,,,
0442895H,Collège privé extraordinaire,Collège,Privé,0,,,,340,COLLEGE,,,
0442900N,Section d'enseignement professionnel du LPO Caroline Aigle,Lycée,Public,0,,,,334,SECTION D ENSEIGNEMENT PROFESSIONNEL,,0442899M,
0443013L,Section d'enseignement général et professionnel adapté du Collège Antoine de Saint-Exupéry,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0441657M,
0450938A,Section d'enseignement général et professionnel adapté du Collège Etienne.Dolet,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0450055R,
0451071V,Section d'enseignement général et professionnel adapté du Collège Montesquieu,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0451070U,
0451451H,Section d'enseignement général et professionnel adapté du Collège Gaston Coute,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0450038X,
0451468B,Ecole privée de formation professionnelle et sportive Loiret-Orléans,Lycée,Privé,0,,,,320,LYCEE PROFESSIONNEL,,,
0451589H,Section d'enseignement professionnel du Lycée polyvalent privé Saint Paul - Bourdon Blanc,Lycée,Privé,0,,,,334,SECTION D ENSEIGNEMENT PROFESSIONNEL,,0450758E,
0451615L,Section d'enseignement général et technologique du Lycée professionnel Hôtelier de l'Orléanais,Lycée,Public,0,,,,335,SECTION ENSEIGT GENERAL ET TECHNOLOGIQUE,,0451304Y,
0451654D,Section d'enseignement général et technologique du Lycée professionnel Château Blanc,Lycée,Public,0,,,,335,SECTION ENSEIGT GENERAL ET TECHNOLOGIQUE,,0451442Y,
0451741Y,Ecole secondaire privée Les roseaux,Collège,Privé,0,,,,340,COLLEGE,,,
0451744B,Section d'enseignement général et professionnel adapté du Collège privé la croix st marceau,Collège,Privé,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0451316L,
0451747E,Section d'enseignement général et professionnel adapté du Lycée polyvalent privé St Paul Bourdon Blanc,Collège,Privé,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0450758E,
0451811Z,"Ecole secondaire ""Le nid des colibris"" - Ingré",Collège,Privé,0,,,,340,COLLEGE,,,
0460564N,Section d'enseignement général et professionnel adapté du Collège Olivier de Magny,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0460528Z,
0460639V,Section d'enseignement général et professionnel adapté du Collège Jean Lurçat,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0460593V,
0460703P,Section professionnelle du Lycée polyvalent privé Jeanne d'Arc,Lycée,Privé,0,,,,334,SECTION D ENSEIGNEMENT PROFESSIONNEL,,0460039T,
0471053P,Collège privé  Les Loupiots,Collège,Privé,0,,,,340,COLLEGE,,,
0480696W,Section professionnelle du Lycée privé hôtelier Sacré-Coeur,Lycée,Privé,0,,,,334,SECTION D ENSEIGNEMENT PROFESSIONNEL,,0480680D,
0490058X,Section d'enseignement professionnel du LPO Sadi Carnot - Jean Bertin,Lycée,Public,0,,,,334,SECTION D ENSEIGNEMENT PROFESSIONNEL,,0490055U,
0491881D,Section d'enseignement général et professionnel adapté du Collège Clément Janequin,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0491674D,
0492109B,Section d'enseignement professionnel du LPO Europe Robert  Schuman,Lycée,Public,0,,,,334,SECTION D ENSEIGNEMENT PROFESSIONNEL,,0490018D,
0492252G,Section d'enseignement général et professionnel adapté du Collège privé Saint Joseph,Collège,Privé,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0491928E,
0492423T,IMAGINE MONTESSORI,Collège,Privé,0,,,,340,COLLEGE,,,
0511328S,Section d'enseignement général et professionnel adapté du Collège Terres Rouges,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0511327R,
0511473Z,Section d'enseignement général et professionnel adapté du Collège Louis Grignon,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0511472Y,
0512070Y,Ecole Technique Privée Pasteur,Lycée,Privé,0,,,,320,LYCEE PROFESSIONNEL,,,
0512139Y,Section d'Enseignement Professionnel du Lycée Polyvalent Européen Stéphane Hessel,Lycée,Public,0,,,,334,SECTION D ENSEIGNEMENT PROFESSIONNEL,,0510068X,
0530039E,Section d'enseignement professionnel du LPO Raoul Vadepied,Lycée,Public,0,,,,334,SECTION D ENSEIGNEMENT PROFESSIONNEL,,0530949U,
0530890E,Section d'enseignement général et professionnel adapté du Collège Emmanuel Martonne,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0530041G,
0531057L,Ecole Secondaire Privée La Ferranderie,Collège,Privé,0,,,,340,COLLEGE,,,
0541283B,Section d'enseignement professionnel du lycée Jean Hanzelet,Lycée,Public,0,,,,334,SECTION D ENSEIGNEMENT PROFESSIONNEL,,0541270M,
0541476L,Section d'enseignement général et professionnel adapté du Collège George de La Tour,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0540110B,
0541549R,Section d'enseignement général et professionnel adapté du Collège Charles Guérin,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0541329B,
0541577W,Section d'enseignement général et professionnel adapté du Collège Vincent Van Gogh,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0541576V,
0541604A,Section d'enseignement général et professionnel adapté du Collège Emile Gallé,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0541579Y,
0541921V,Ecole Silvya TERRADE Nancy,Lycée,Privé,0,,,,320,LYCEE PROFESSIONNEL,,,
0542291X,Section d'enseignement professionnel du Lycée polyvalent Emmanuel Héré,Lycée,Public,0,,,,334,SECTION D ENSEIGNEMENT PROFESSIONNEL,,0542262R,
0542587U,Section d'enseignement général et professionnel adapté du Collège de la Haute Vezouze,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0540011U,
0550806C,Section d'enseignement général et professionnel adapté du Collège Robert Aubry,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0550014S,
0550889T,Section d'enseignement général et professionnel adapté du Collège Louise Michel,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0550011N,
0561680X,Section d'enseignement professionnel du Lycee des metiers du moulage et de la plasturgie, Marcelin Berthelot,Lycée,,,,0,,334,99,,
0561747V,Section professionnelle du Lycée polyvalent privé Saint Joseph,Lycée,Privé,0,,,,334,SECTION D ENSEIGNEMENT PROFESSIONNEL,,0560198L,
0562041P,LGT hors-contrat Les Merlus - Ploemeur,Lycée,Privé,0,,,,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,,,
0562065R,Section d'enseignement général et professionnel adapté du collège privé Sainte-Anne,Collège,Privé,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0561545A,
0570031Z,Section d'enseignement professionnel du lycée polyvalent Blaise Pascal,Lycée,Public,0,,,,334,SECTION D ENSEIGNEMENT PROFESSIONNEL,,0570030Y,
0570145Y,Section d'enseignement Professionnel du lycée polyvalent Julie Daubié,Lycée,Public,0,,,,334,SECTION D ENSEIGNEMENT PROFESSIONNEL,,0570146Z,
0572011B,Section d'enseignement général et professionnel adapté du Collège Claudie Haigneré,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0570326V,
0572018J,Section d'enseignement général et professionnel adapté du Collège Jean Burger,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0572017H,
0572165U,Section d'enseignement général et professionnel adapté du Collège Paul Verlaine,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0572164T,
0572356B,Section d'enseignement général et professionnel adapté du Collège La Milliaire,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0572355A,
0572485S,Section d'enseignement général et professionnel adapté du Collège Victor Demange,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0570010B,
0572495C,Section d'enseignement général et professionnel adapté du Collège Pierre Messmer,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0570097W,
0573270V,Lycée professionnel privé de La Salle,Lycée,Privé,0,,,,320,LYCEE PROFESSIONNEL,0572350V,,
0573400L,Section d'enseignement professionnel du Lycée polyvalent Mangin,Lycée,Public,0,,,,334,SECTION D ENSEIGNEMENT PROFESSIONNEL,,0570094T,
0573756Y,Centre Artistique et Technique de l'Esthétique et de la Coiffure,Lycée,Privé,0,,,,301,LYCEE D ENSEIGNEMENT TECHNOLOGIQUE,,,
0573808E,Collège privé Plant B,Collège,Privé,0,,,,340,COLLEGE,,,
0573830D,Collège privé hors-contrat Les petites brindilles,Collège,Privé,0,,,,340,COLLEGE,,,
0580694P,Section d'enseignement général et professionnel adapté du Collège Aumenier Michot,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0580610Y,
0580725Y,Section d'enseignement général et professionnel adapté du Collège Bibracte,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0580005R,
0580764R,Section d'enseignement général et professionnel adapté du Lycée professionnel Varzy,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0581009G,
0581012K,Lycée Notre Dame de la Sainte Espérance,Lycée,Privé,0,,,,306,LYCEE POLYVALENT,,,
0593238Z,Section d'enseignement général et professionnel adapté du Collège Gernez Rieux,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0593237Y,
0593675Z,Section d'enseignement général et professionnel adapté du Collège Alphonse Terroir,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0593674Y,
0593682G,Section d'enseignement général et professionnel adapté du Collège Arthur Rimbaud,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0593196D,
0594421K,Section d'enseignement général et professionnel adapté du Collège Germinal,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0594408W,
0594529C,Section d'enseignement général et professionnel adapté du Collège Henri Dunant,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0594294X,
0594535J,Section d'enseignement général et professionnel adapté du Collège Moulin Blanc,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0594411Z,
0594629L,Section d'enseignement général et professionnel adapté du Collège Verlaine,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0590271Z,
0594869X,Section d'enseignement général et professionnel adapté du Collège Théodore Monod,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0594634S,
0594870Y,Section d'enseignement général et professionnel adapté du Collège Marie Curie,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0594394F,
0594875D,Section d'enseignement général et professionnel adapté du Collège Victor Hugo,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0594405T,
0595185R,Section d'enseignement général et professionnel adapté du Collège Josquin des Prés,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0590050J,
0595187T,Section d'enseignement général et professionnel adapté du Collège Dupleix,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0595178H,
0595278S,Section d'enseignement général et professionnel adapté du Collège Jacques Prévert,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0595277R,
0596681S,Lycée général et technologique privé Averroès,Lycée,Privé,0,,,,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,,,
0596923E,Ecole secondaire privée le Blanc-Mesnil,Collège,Privé,0,,,,340,COLLEGE,,,
0597061E,Ecole secondaire privée hors contrat Cours La Cordée,Collège,Privé,0,,,,340,COLLEGE,,,
0597245E,Ecole secondaire privée hors contrat l'Oeil du Loup - Collège privé alternatif,Collège,Privé,0,,,,340,COLLEGE,,,
0602132S,Collège Al Ghazali,Collège,Privé,0,,,,340,COLLEGE,,,
0602133T,Collège Don Bosco,Collège,Privé,0,,,,340,COLLEGE,,,
0602209A,Lycée professionel privé hors contrat O'TECH - ECOLE DE PRODUCTION SUD-OISE,Lycée,Privé,0,,,,320,LYCEE PROFESSIONNEL,,,
0610716X,Section d'enseignement professionnel du Lycée privé Saint Francois de Sales,Lycée,Privé,0,,,,334,SECTION D ENSEIGNEMENT PROFESSIONNEL,,0610692W,
0610956H,Section d'enseignement général et professionnel adapté du collège Molière,Collège,Public,0,,,,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,,0610745D,
0611315Y,Ecole de production privée GM2A à Argentan,Lycée,Privé,0,,,,320,LYCEE PROFESSIONNEL,,,
0622169W,Ecole du second degré privée hors contrat Terrade ARRAS,Lycée,Privé,0,,,,320,LYCEE PROFESSIONNEL,,,
