Identifiant_de_l_etablissement,Nom_etablissement,Type_etablissement,Statut_public_prive,Segpa,Lycee_Agricole,Lycee_militaire,code_nature,libelle_nature,Code_type_contrat_prive,etablissement_mere,type_rattachement_etablissement_mere,
0010006B,Lycée polyvalent Saint-Exupéry,Lycée,Public,0,0,0,,306,LYCEE POLYVALENT,0010008D,,
0421681Z,Collège Waldeck Rousseau,Collège,Public,0,0,0,,340,COLLEGE,0421681Z,,
0692417C,Collège Boris Vian,Collège,Public,0,0,0,,340,COLLEGE,0692417C,,
0010035H,Collège Louis Lumière,Collège,Public,0,0,0,,340,COLLEGE,0010035H,,
0011325K,Collège Théodore Rosset,Collège,Public,0,0,0,,340,COLLEGE,0011325K,,
0693504J,Lycée polyvalent François Rabelais,Lycée,Public,0,0,0,,306,LYCEE POLYVALENT,0692414Z,,
0690281F,Lycée professionnel Joseph-Marie Jacquard,Lycée,Public,0,0,0,,320,LYCEE PROFESSIONNEL,0690075G,,
0692155T,Collège des Gratte-Ciel - Môrice Leroux,Collège,Public,1,0,0,,340,COLLEGE,0692155T,,
0130033R,Lycée professionnel Louis Blériot,Lycée,Public,0,0,0,,320,LYCEE PROFESSIONNEL,0131607B,,
0470733S,Collège de la Cité Scolaire,Collège,Public,0,0,0,,340,COLLEGE,0470733S,,
0382035F,Collège Charles Munch,Collège,Public,1,0,0,,340,COLLEGE,0382035F,,
0740013M,Lycée polyvalent Guillaume Fichet,Lycée,Public,0,0,0,,306,LYCEE POLYVALENT,0740048A,,
0730013T,Lycée général et technologique Vaugelas,Lycée,Public,0,0,0,,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0730902J,,
0381819W,Lycée agricole de la Côte Saint-André, École de la nature et du vivant,Lycée,0,0,1,0,,300,99,,
0260015A,Lycée général et technologique Alain Borne,Lycée,Public,0,0,0,,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0260045H,,
0911024U,Collège Louise Michel,Collège,Public,0,0,0,,340,COLLEGE,0910752Y,,
