uai;type_etab;nom_etablissement;adresse;code_postal;commune;voie_generale;voie_techno;nbeleves;zone_ep
0420014M;Lycée;Lycée Jacob Holtzer;5 rue Michelet;42704;Firminy;1.0;1.0;;
0690631L;Lycée;Lycée ICOF;8 avenue Debrousse;69005;Lyon;0.0;1.0;;
0391146J;Lycée;Lycée polyvalent privé Pasteur Mont Roland;55 boulevard Wilson;39100;Dole;1.0;1.0;;
0430098Y;Lycée;Lycée polyvalent privé Saint-Jacques de Compostelle - site A.-M. Martel;2 rue Anne-Marie Martel;43009;Le Puy-en-Velay;0.0;1.0;;
0680073K;Lycée;Lycée Scheurer Kestner;1 rue Moschenross;68802;Thann;1.0;1.0;;
0313080E;Collège;Collège Jeanne et Jean Philippe;7 rue Micheline Ostermeyer;31000;Toulouse;0.0;0.0;;
0313081F;Collège;Collège Ginette Kolinka;Route de Labastidette;31600;Seysses;0.0;0.0;;
0150047V;Lycée;Lycée polyvalent privé de la communication Saint-Géraud;23 rue du Collège;15013;Aurillac;0.0;1.0;;
0480502K;Lycée;Lycée d'enseignement agricole privé Terre Nouvelle;2 avenue des Martyrs de la Résistance;48100;Marvejols;0.0;1.0;;
0341974L;Lycée;Lycée privé polyvalent Le Sacré-Coeur;46 boulevard d'Angleterre;34500;Béziers;0.0;1.0;;
0880021V;Lycée;Lycée des métiers de la conception, de l'automatique et de l'énergie Pierre Mendès France;2 rue du Haut des Etages;88021;Épinal;1.0;1.0;;
0381666E;Lycée;Lycée général et technologique privé Pierre Termier;5 bis rue Fourier;38000;Grenoble;1.0;1.0;;
0790031E;Lycée;Lycée polyvalent du Haut Val de Sèvre;22 rue du Panier Fleuri;79403;Saint-Maixent-l'École;1.0;0.0;;
0440246D;Lycée;Lycée polyvalent Sacré-Coeur La Salle;3 rue Francis Portais;44104;Nantes;1.0;1.0;;
0720010V;Lycée;LEGTA La Germinière;La Germinière;72700;Rouillon;1.0;1.0;;
0442207K;Lycée;Lycée Camille Claudel;14 boulevard J Verne;44130;Blain;1.0;1.0;;
0530818B;Lycée;LEGTAP Rochefeuille;Vieille Route d'Ambrières;53100;Mayenne;0.0;1.0;;
0440077V;Lycée;Lycée Jacques Prévert;17 rue Joseph Malegue;44260;Savenay;1.0;1.0;;
0441788E;Lycée;Lycée agricole privé Saint Gabriel Nantes Océan;Allée du Bois Tillac;44640;Le Pellerin;0.0;1.0;;
0441992B;Lycée;Lycée du pays de Retz;1 rue Georges Charpak;44211;Pornic;1.0;1.0;;
0720027N;Lycée;Lycée polyvalent de Perseigne;Rue Jean Jaurès;72600;Mamers;1.0;1.0;;
0441993C;Lycée;Lycée Carcouet;115 boulevard du Massacre;44184;Nantes;1.0;1.0;;
0721478R;Lycée;Lycée polyvalent Saint-Joseph - La Salle;Le Pizieux;72700;Pruillé-le-Chétif;0.0;1.0;;
0492420P;Lycée;Lycée polyvalent Saint Aubin-La Salle;Rue Hélène Boucher;49481;Verrières-en-Anjou;1.0;1.0;;
0850016F;Lycée;Lycée polyvalent Atlantique;5 rue Jean Jaurès;85402;Luçon;1.0;1.0;;
0851705S;Lycée;Lycée général et technologique Colette Le Bret;8 rue Albert Camus;85190;Aizenay;1.0;1.0;;
0850086G;Lycée;Lycée général et technologique Saint Gabriel Saint Michel;32 rue du Calvaire;85290;Saint-Laurent-sur-Sèvre;1.0;1.0;;
0850079Z;Lycée;Lycée Notre-Dame de la Tourtelière;Rue Buffon;85703;Pouzauges;1.0;1.0;;
0440178E;Lycée;Lycée Notre-Dame d'Espérance;15 rue du Bois Savary;44615;Saint-Nazaire;1.0;1.0;;
0441791H;Lycée;LPP de l'Erdre;13 rue du Général Leclerc;44390;Nort-sur-Erdre;0.0;1.0;;
0440005S;Lycée;Lycée polyvalent Guy Môquet - Etienne Lenoir;9 rue de l'Europe;44146;Châteaubriant;1.0;1.0;;
0442834S;Lycée;Lycée général et technologique Honoré d'Estienne d'Orves;2 esplanade du lycée;44470;Carquefou;1.0;1.0;;
0721094Y;Lycée;Lycée polyvalent Le Mans sud;128 rue Henri Champion;72058;Le Mans;1.0;1.0;;
